#       k             kp                 V11                    V12                    V21                    V22          
   0.006239       14.634998        7.998518e-13           2.980225e-13           1.234956e-18           4.601435e-19      
   0.006239       14.734334        8.479008e-12           3.155898e-12           1.310335e-17           4.877121e-18      
   0.006239       14.818211        5.330628e-11           1.980948e-11           8.243715e-17           3.063528e-17      
   0.006239       14.886403        1.953159e-10           7.230011e-11           3.021992e-16           1.118662e-16      
   0.006239       14.938727        4.988975e-10           1.837368e-10           7.722497e-16           2.844112e-16      
   0.006239       14.975043        1.139118e-09           4.175724e-10           1.764514e-15           6.468338e-16      
   0.006239       14.995261        2.718693e-09           9.936932e-10           4.219751e-15           1.542360e-15      
   0.015318       0.001185         -2.480698e+00          -5.299682e-06          -8.868397e-04          9.356825e-10      
   0.015318       0.006239         -2.480624e+00          -1.469630e-04          -8.866774e-04          2.594699e-08      
   0.015318       0.015318         -2.480155e+00          -8.858481e-04          -8.858481e-04          1.564637e-07      
   0.015318       0.028399         -2.478842e+00          -3.042635e-03          -8.834324e-04          5.373638e-07      
   0.015318       0.045447         -2.475956e+00          -7.771238e-03          -8.781441e-04          1.371596e-06      
   0.015318       0.066417         -2.470600e+00          -1.651308e-02          -8.683987e-04          2.913913e-06      
   0.015318       0.091251         -2.461731e+00          -3.091751e-02          -8.524394e-04          5.454108e-06      
   0.015318       0.119882         -2.448206e+00          -5.271039e-02          -8.285357e-04          9.289794e-06      
   0.015318       0.152235         -2.428863e+00          -8.351036e-02          -7.952560e-04          1.468392e-05      
   0.015318       0.188220         -2.402610e+00          -1.246073e-01          -7.517887e-04          2.180230e-05      
   0.015318       0.227742         -2.368526e+00          -1.767163e-01          -6.982500e-04          3.063096e-05      
   0.015318       0.270694         -2.325944e+00          -2.397666e-01          -6.358891e-04          4.088508e-05      
   0.015318       0.316959         -2.274513e+00          -3.127681e-01          -5.670864e-04          5.194034e-05      
   0.015318       0.366414         -2.214207e+00          -3.938111e-01          -4.950836e-04          6.283783e-05      
   0.015318       0.418925         -2.145286e+00          -4.802247e-01          -4.234628e-04          7.241526e-05      
   0.015318       0.474351         -2.068222e+00          -5.688597e-01          -3.555074e-04          7.957721e-05      
   0.015318       0.532541         -1.983608e+00          -6.564311e-01          -2.936539e-04          8.363009e-05      
   0.015318       0.593339         -1.892085e+00          -7.398281e-01          -2.392305e-04          8.451933e-05      
   0.015318       0.656582         -1.794307e+00          -8.163224e-01          -1.925507e-04          8.280083e-05      
   0.015318       0.722098         -1.690928e+00          -8.836597e-01          -1.532534e-04          7.931807e-05      
   0.015318       0.789711         -1.582620e+00          -9.400672e-01          -1.206708e-04          7.477654e-05      
   0.015318       0.859239         -1.470102e+00          -9.842298e-01          -9.404704e-05          6.951871e-05      
   0.015318       0.930495         -1.354187e+00          -1.015262e+00          -7.258778e-05          6.364950e-05      
   0.015318       1.003286         -1.235822e+00          -1.032675e+00          -5.545932e-05          5.733827e-05      
   0.015318       1.077416         -1.116134e+00          -1.036331e+00          -4.184310e-05          5.095658e-05      
   0.015318       1.152685         -9.964391e-01          -1.026398e+00          -3.103695e-05          4.491141e-05      
   0.015318       1.228890         -8.782234e-01          -1.003335e+00          -2.251066e-05          3.939471e-05      
   0.015318       1.305826         -7.630962e-01          -9.678991e-01          -1.586901e-05          3.435462e-05      
   0.015318       1.383286         -6.527208e-01          -9.211781e-01          -1.077702e-05          2.969880e-05      
   0.015318       1.461060         -5.487278e-01          -8.645983e-01          -6.927509e-06          2.545746e-05      
   0.015318       1.538940         -4.526122e-01          -7.999009e-01          -4.060644e-06          2.172755e-05      
   0.015318       1.616714         -3.656227e-01          -7.290925e-01          -1.981841e-06          1.852486e-05      
   0.015318       1.694174         -2.886649e-01          -6.543715e-01          -5.440802e-07          1.575656e-05      
   0.015318       1.771110         -2.222336e-01          -5.780285e-01          3.833274e-07           1.332234e-05      
   0.015318       1.847315         -1.663840e-01          -5.023202e-01          9.253287e-07           1.118862e-05      
   0.015318       1.922584         -1.207432e-01          -4.293310e-01          1.190782e-06           9.358709e-06      
   0.015318       1.996714         -8.456262e-02          -3.608451e-01          1.263890e-06           7.812544e-06      
   0.015318       2.069505         -5.680440e-02          -2.982492e-01          1.208218e-06           6.498925e-06      
   0.015318       2.140761         -3.624972e-02          -2.424770e-01          1.074865e-06           5.369515e-06      
   0.015318       2.210289         -2.161171e-02          -1.939982e-01          9.053445e-07           4.399838e-06      
   0.015318       2.277902         -1.163680e-02          -1.528527e-01          7.299876e-07           3.580064e-06      
   0.015318       2.343418         -5.183265e-03          -1.187195e-01          5.672996e-07           2.898371e-06      
   0.015318       2.406661         -1.271947e-03          -9.100922e-02          4.263038e-07           2.336354e-06      
   0.015318       2.467459         8.911408e-04           -6.896400e-02          3.100203e-07           1.874285e-06      
   0.015318       2.525649         1.915994e-03           -5.174996e-02          2.180939e-07           1.495974e-06      
   0.015318       2.581075         2.246892e-03           -3.853372e-02          1.482401e-07           1.189127e-06      
   0.015318       2.633586         2.190215e-03           -2.853789e-02          9.709542e-08           9.434049e-07      
   0.015318       2.683041         1.945211e-03           -2.107506e-02          6.089922e-08           7.490521e-07      
   0.015318       2.729306         1.632988e-03           -1.556345e-02          3.605133e-08           5.967837e-07      
   0.015318       2.772258         1.321039e-03           -1.152821e-02          1.946189e-08           4.782426e-07      
   0.015318       2.811780         1.042331e-03           -8.593576e-03          8.680039e-09           3.863545e-07      
   0.015318       2.847765         8.091042e-04           -6.469738e-03          1.867558e-09           3.153831e-07      
   0.015318       2.880118         6.222235e-04           -4.938070e-03          -2.300740e-09          2.607838e-07      
   0.015318       2.908749         4.770968e-04           -3.836667e-03          -4.752517e-09          2.189969e-07      
   0.015318       2.933583         3.671642e-04           -3.047530e-03          -6.121752e-09          1.872572e-07      
   0.015318       2.954553         2.857829e-04           -2.485912e-03          -6.832350e-09          1.634399e-07      
   0.015318       2.971601         2.271266e-04           -2.091865e-03          -7.161621e-09          1.459389e-07      
   0.015318       2.984682         1.865249e-04           -1.823833e-03          -7.286602e-09          1.335709e-07      
