#       k             kp                  V           
   0.045447       3.181789         -4.360675e-05     
   0.045447       3.265666         -7.747653e-05     
   0.045447       3.365002         -6.308911e-05     
   0.045447       3.479529         -3.280416e-05     
   0.045447       3.608938         -1.027843e-05     
   0.045447       3.752880         -9.239143e-07     
   0.045447       3.910968         7.451793e-07      
   0.045447       4.082775         3.682758e-07      
   0.045447       4.267838         6.898954e-08      
   0.045447       4.465657         7.716858e-10      
   0.045447       4.675701         -1.956729e-09     
   0.045447       4.897402         -2.803018e-10     
   0.045447       5.130163         1.587933e-12      
   0.045447       5.373356         2.839168e-12      
   0.045447       5.626327         1.059233e-13      
   0.045447       5.888392         -9.232710e-15     
   0.045447       6.158845         -3.704843e-16     
   0.045447       6.436958         1.402615e-17      
   0.045447       6.721980         3.161581e-19      
   0.045447       7.013143         -1.015102e-20     
   0.045447       7.309662         -3.618850e-23     
   0.045447       7.610739         2.349101e-24      
   0.045447       7.915560         -1.230992e-26     
   0.045447       8.223305         -8.031895e-29     
   0.045447       8.533144         9.094235e-31      
   0.045447       8.844241         -2.606694e-33     
   0.045447       9.155759         -2.710373e-37     
   0.045447       9.466856         2.070884e-38      
   0.045447       9.776695         -7.678931e-41     
   0.045447       10.084440        1.865934e-43      
   0.045447       10.389261        -3.020853e-46     
   0.045447       10.690338        2.565163e-49      
   0.045447       10.986857        -2.402346e-52     
   0.045447       11.278020        -1.624433e-49     
   0.045447       11.563042        -7.456164e-47     
   0.045447       11.841155        -1.391612e-44     
   0.045447       12.111608        2.330899e-41      
   0.045447       12.373673        3.897919e-38      
   0.045447       12.626644        3.720190e-35      
   0.045447       12.869837        2.579181e-32      
   0.045447       13.102598        1.341313e-29      
   0.045447       13.324299        5.183709e-27      
   0.045447       13.534343        1.456222e-24      
   0.045447       13.732162        2.897354e-22      
   0.045447       13.917225        3.976820e-20      
   0.045447       14.089032        3.675033e-18      
   0.045447       14.247120        2.235603e-16      
   0.045447       14.391062        8.810188e-15      
   0.045447       14.520471        2.215885e-13      
   0.045447       14.634998        3.508027e-12      
   0.045447       14.734334        3.639980e-11      
   0.045447       14.818211        2.294226e-10      
   0.045447       14.886403        8.471029e-10      
   0.045447       14.938727        2.123960e-09      
   0.045447       14.975043        4.420999e-09      
   0.045447       14.995261        8.219233e-09      
   0.066417       0.001185         -1.973132e+00     
   0.066417       0.006239         -1.973068e+00     
   0.066417       0.015318         -1.972662e+00     
   0.066417       0.028399         -1.971531e+00     
   0.066417       0.045447         -1.969042e+00     
   0.066417       0.066417         -1.964421e+00     
   0.066417       0.091251         -1.956763e+00     
   0.066417       0.119882         -1.945073e+00     
   0.066417       0.152235         -1.928332e+00     
   0.066417       0.188220         -1.905568e+00     
   0.066417       0.227742         -1.875944e+00     
   0.066417       0.270694         -1.838839e+00     
   0.066417       0.316959         -1.793900e+00     
   0.066417       0.366414         -1.741074e+00     
   0.066417       0.418925         -1.680587e+00     
   0.066417       0.474351         -1.612893e+00     
   0.066417       0.532541         -1.538604e+00     
   0.066417       0.593339         -1.458418e+00     
   0.066417       0.656582         -1.373066e+00     
   0.066417       0.722098         -1.283290e+00     
   0.066417       0.789711         -1.189843e+00     
   0.066417       0.859239         -1.093502e+00     
   0.066417       0.930495         -9.951046e-01     
   0.066417       1.003286         -8.955805e-01     
   0.066417       1.077416         -7.959811e-01     
   0.066417       1.152685         -6.974878e-01     
   0.066417       1.228890         -6.013955e-01     
   0.066417       1.305826         -5.090706e-01     
   0.066417       1.383286         -4.218890e-01     
   0.066417       1.461060         -3.411577e-01     
   0.066417       1.538940         -2.680243e-01     
   0.066417       1.616714         -2.033859e-01     
   0.066417       1.694174         -1.478115e-01     
   0.066417       1.771110         -1.014926e-01     
   0.066417       1.847315         -6.422989e-02     
   0.066417       1.922584         -3.545861e-02     
   0.066417       1.996714         -1.430977e-02     
